animalRecoded,sireRecoded,damRecoded
546,89,9556
547,1338,5198
548,3253,4971
549,6499,887
550,3842,1689
551,NULL,NULL
552,565,1178
553,4214,4631
554,NULL,NULL
555,NULL,NULL
556,1982,1358
557,6221,7123
558,6326,8225
559,7935,5786
560,2438,6549
561,2157,2875
562,6380,9477
563,5785,501
564,2746,3129
566,9984,8372
567,212,5244
568,4195,10519
569,5750,5132
570,4535,10046
571,10924,3065
572,7332,124
573,376,5655
574,3671,6701
575,7673,4343
576,NULL,NULL
577,10037,431
578,10835,6162
579,5550,7605
580,NULL,NULL
581,1896,8645
582,5537,6070
583,1752,5791
584,5221,6443
585,9984,1508
586,212,553
587,2932,5023
588,NULL,NULL
589,565,6535
590,10492,10975
591,2157,5391
592,738,6236
593,6221,10102
594,NULL,NULL
595,NULL,NULL
596,1017,8153
597,1123,569
598,8865,4376
599,8548,8257
600,1095,7264
601,NULL,NULL
602,4195,5505
603,NULL,NULL
604,7604,1054
605,NULL,NULL
606,2322,3144
607,NULL,NULL
608,NULL,NULL
609,2910,3380
610,2044,1198
611,NULL,8207
612,8548,2287
613,5980,3299
614,5636,4172
615,3723,NULL
616,922,6587
617,6499,8921
618,7796,182
619,6833,1360
620,1304,9286
621,1254,2682
622,8858,1004
623,4094,10505
624,8869,3735
625,5537,99
626,7077,2059
627,NULL,NULL
628,6833,504
629,6833,10649
630,5262,8070
631,212,8764
632,339,773
633,1039,10953
634,8821,2761
635,5750,NULL
636,2173,7731
637,10575,6906
638,7848,3561
639,10280,7007
640,NULL,NULL
641,NULL,NULL
642,7604,6249
643,7604,10549
644,8947,7885
645,7604,5057
646,6462,5024
647,6558,938
648,1752,3360
649,7796,2740
650,3882,6128
651,6653,4381
652,5979,388
653,10835,1122
654,7848,7925
655,361,3690
656,NULL,NULL
657,10428,9539
658,5636,6945
659,8858,1045
660,4851,1508
661,8858,9483
662,1688,7119
663,6221,10153
664,3225,6250
665,4443,9618
666,6833,1567
667,3628,3226
668,4511,9397
669,1781,9539
670,717,9068
671,1781,2898
672,5571,1928
673,8055,7797
674,NULL,NULL
675,5665,7259
676,1431,5120
677,215,4695
678,NULL,8637
679,2893,8349
680,6943,2042
681,2893,7585
682,565,10214
683,10835,3639
684,9607,8151
685,7125,647
686,4456,2188
687,6848,4408
688,1396,9683
689,1603,2324
690,456,4173
691,8672,1305
692,NULL,NULL
693,2964,8560
694,6653,9121
695,1752,4230
696,8670,2643
697,NULL,NULL
698,1254,8451
699,327,5670
700,10112,2054
701,4853,4280
702,10691,5035
703,6620,3702
704,NULL,10712
705,375,NULL
706,6221,8463
708,1584,7369
709,9014,2641
710,8593,1567
711,NULL,NULL
712,3399,10521
713,1532,NULL
714,10582,10878
715,4415,4227
716,6557,7583
717,2526,8182
718,10112,9717
719,1688,870
720,7725,NULL
721,NULL,NULL
722,6178,9356
723,4828,3148
724,197,8227
725,8593,587
726,3486,9336
727,5357,1712
728,7825,3966
729,NULL,NULL
730,5260,5470
731,216,7197
732,857,4064
733,3615,NULL
734,NULL,NULL
735,7353,3595
736,NULL,NULL
737,NULL,NULL
738,4666,2137
739,8385,4902
740,4036,8834
741,4992,4012
742,361,6670
743,5283,318
744,2865,2495
745,5116,3503
746,9060,1288
747,5221,354
748,3574,3113
749,7353,10389
750,860,178
751,6691,NULL
752,NULL,NULL
753,8119,5302
754,2310,6539
755,4853,8223
756,1640,10773
757,2173,NULL
758,6943,7522
759,3680,9101
760,2893,4642
761,6499,1908
762,5627,3866
763,1332,8159
764,3671,5733
765,5129,10402
766,212,2637
767,5537,9621
768,9014,224
769,1304,6751
770,10075,3100
771,10107,245
772,3593,3797
773,5116,2422
774,297,8976
775,10428,5443
776,2280,6831
777,5451,8303
778,532,7279
779,5715,3056
780,2375,7136
781,NULL,7997
782,5282,4652
783,2865,10984
784,7848,6203
785,5129,6832
786,857,5274
787,6833,10485
789,NULL,NULL
790,140,10412
791,7296,2535
792,NULL,NULL
793,5510,1459
794,4482,6248
795,6499,6479
796,6810,10066
797,456,5633
798,922,4581
799,8672,4003
800,10288,2281
801,NULL,NULL
802,2315,5660
803,1843,7525
804,3698,4854
805,494,10477
806,7976,9002
