recodedId,QC_RTL,TL_Quartiles,CULL_DATE,CutoffDate,Survival,Time_Months,Time_Years,Event,residRTL_plateRow,AGE_Y
680,1.241037025,3,09/07/2014,01/01/2017,544,17.83606557,1.490410959,1,0.098890664,0
680,1.082058487,3,09/07/2014,01/01/2017,544,17.83606557,1.490410959,1,-0.072037254,1
681,1.072771305,2,10/01/2014,01/01/2017,1160,38.03278689,3.178082192,1,0.041887561,0
681,1.091883004,3,10/01/2014,01/01/2017,1160,38.03278689,3.178082192,1,-0.041523637,1
681,1.073428328,3,10/01/2014,01/01/2017,1160,38.03278689,3.178082192,1,0.057064219,2
681,0.909960046,1,10/01/2014,01/01/2017,1160,38.03278689,3.178082192,1,-0.137481558,3
681,0.909960046,1,10/01/2014,01/01/2017,1160,38.03278689,3.178082192,1,-0.137481558,4
743,1.126438357,2,08/04/2015,01/01/2017,932,30.55737705,2.553424658,1,-0.034497781,0
743,1.260019705,4,08/04/2015,01/01/2017,932,30.55737705,2.553424658,1,0.146756145,2
760,1.581938328,4,06/06/2013,01/01/2017,1110,36.39344262,3.04109589,1,0.224192983,0
760,1.104857851,3,06/06/2013,01/01/2017,1110,36.39344262,3.04109589,1,0.057252136,1
760,1.115552049,3,06/06/2013,01/01/2017,1110,36.39344262,3.04109589,1,-0.095834624,4
760,1.135214343,3,06/06/2013,01/01/2017,1110,36.39344262,3.04109589,1,-0.056108673,2
760,1.115552049,3,06/06/2013,01/01/2017,1110,36.39344262,3.04109589,1,-0.095834624,3
785,1.176257955,3,14/11/2014,01/01/2017,1082,35.47540984,2.964383562,1,0.069503013,0
785,1.102330396,3,14/11/2014,01/01/2017,1082,35.47540984,2.964383562,1,0.035000793,1
785,0.925509876,1,14/11/2014,01/01/2017,1082,35.47540984,2.964383562,1,-0.06420059,2
785,0.866355818,1,14/11/2014,01/01/2017,1082,35.47540984,2.964383562,1,-0.133763682,3
813,0.948316216,1,24/01/2013,01/01/2017,648,21.24590164,1.775342466,1,-0.046774544,0
813,0.875263923,1,24/01/2013,01/01/2017,648,21.24590164,1.775342466,1,-0.042502391,1
906,0.979519952,1,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.01573988,0
906,1.035186083,2,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.031884528,1
906,0.871940514,1,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.145312906,2
906,0.901334242,1,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.041967316,3
906,0.901334242,1,30/01/2015,01/01/2017,2275,74.59016393,6.232876712,1,-0.041967316,4
954,1.183001656,3,15/11/2013,01/01/2017,499,16.36065574,1.367123288,1,0.134997651,0
954,1.028933716,2,15/11/2013,01/01/2017,499,16.36065574,1.367123288,1,-0.07394509,1
954,0.993444138,2,15/11/2013,01/01/2017,499,16.36065574,1.367123288,1,-0.106177315,1
961,1.239933172,3,NULL,01/01/2017,2315,75.90163934,6.342465753,0,0.254855572,0
961,0.970583667,2,NULL,01/01/2017,2315,75.90163934,6.342465753,0,-0.0373417,1
961,0.794679152,1,NULL,01/01/2017,2315,75.90163934,6.342465753,0,-0.191254629,2
961,0.770973862,1,NULL,01/01/2017,2315,75.90163934,6.342465753,0,-0.225007108,2
966,0.973016167,1,23/02/2012,01/01/2017,1147,37.60655738,3.142465753,1,-0.09682999,0
966,1.539949126,4,23/02/2012,01/01/2017,1147,37.60655738,3.142465753,1,0.26021213,1
966,1.254672906,4,23/02/2012,01/01/2017,1147,37.60655738,3.142465753,1,0.083322059,2
966,1.123490676,3,23/02/2012,01/01/2017,1147,37.60655738,3.142465753,1,-0.081430427,3
966,1.123490676,3,23/02/2012,01/01/2017,1147,37.60655738,3.142465753,1,-0.081430427,4
1015,1.335010219,4,08/04/2015,01/01/2017,961,31.50819672,2.632876712,1,0.199970278,0
1015,1.136356415,3,08/04/2015,01/01/2017,961,31.50819672,2.632876712,1,-0.045464898,1
1015,1.06177758,3,08/04/2015,01/01/2017,961,31.50819672,2.632876712,1,-0.038358839,2
1024,1.632860185,4,03/11/2014,01/01/2017,1756,57.57377049,4.810958904,1,0.321987535,0
1024,0.926735086,1,03/11/2014,01/01/2017,1756,57.57377049,4.810958904,1,-0.059244393,1
1024,1.093733858,3,03/11/2014,01/01/2017,1756,57.57377049,4.810958904,1,-0.046828827,3
1024,1.093733858,3,03/11/2014,01/01/2017,1756,57.57377049,4.810958904,1,-0.046828827,4
1024,1.087751687,3,03/11/2014,01/01/2017,1756,57.57377049,4.810958904,1,0.033446626,2
1047,1.197287529,4,08/01/2015,01/01/2017,858,28.13114754,2.350684932,1,0.056545404,2
1052,1.114463187,2,13/11/2015,01/01/2017,2171,71.18032787,5.947945205,1,-3.97E-05,0
1052,1.082354918,3,13/11/2015,01/01/2017,2171,71.18032787,5.947945205,1,0.020652275,1
1052,1.044615369,3,13/11/2015,01/01/2017,2171,71.18032787,5.947945205,1,-0.032157328,2
