ANIMAL_ID,SIRE_ID,DAM_ID
650000000168248511M,650000000149100711M,650000000657151811F
640000000027890911M,*,*
650000000129292711M,*,*
650000000137859411M,640000000021803611M,650000000316799111F
200000000014054711M,*,*
200000000014125911M,*,*
200000000379850211F,200000000025344511M,*
DUMMYHUK129F,DUMMYHUK20M,*
DUMMYHUK130F,DUMMYHUK20M,*
DUMMYHUK121F,DUMMYHUK1M,*
DUMMYHUK128F,DUMMYHUK1M,*
DUMMYHUK142F,DUMMYHUK79M,*
200000000016215511M,*,*
200000000016220911M,*,*
200000000017095311M,*,*
200000000017929711M,*,*
200000000018805911M,*,*
200000000021021711M,*,*
200000000021561711M,*,*
200000000004719911M,*,*
200000000005335111M,*,*
200000000005528911M,010000000004638911M,*
200000000005816711M,*,*
200000000008374711M,*,*
200000000008765311M,*,*
200000000028996511M,200000000020062711M,*
200000000029212711M,200000000027522311M,*
640000000027823111M,640000000027392511M,*
010000000022231911M,010000000010013311M,200000000064700611F
650000000134434511M,650000000128212511M,*
200000000012798311M,200000000005630311M,*
200000000021098711M,200000000016225511M,*
200000000029404511M,200000000021620511M,200000000123156411F
640000000028182111M,640000000026715011M,*
650000000138300411M,650000000129552311M,*
650000000138947111M,650000000122324311M,*
200000000008790711M,200000000006384511M,010000000018020011F
200000000015489111M,200000000013338311M,200000000042193811F
650000000165490611M,650000000147051211M,*
640000000029626611M,*,*
640000000029949911M,*,*
650000000163305911M,650000000139399711M,*
650000000168173411M,650000000149100711M,650000000815027411F
010000000032414811F,*,*
010000000033521411F,*,*
010000000033619611F,*,*
010000000034605411F,*,*
010000000035815211F,*,*
010000000039107611F,*,*
010000000041176011F,*,*
010000000049966611F,*,*
010000000050028011F,*,*
010000000052472811F,*,*
010000000056888211F,*,*
010000000060209211F,*,*
010000000067728211F,*,*
010000000087764811F,*,*
010000000099483811F,*,*
010000000114087211F,*,*
010000000136970411F,*,*
010000000152854811F,*,*
010000000197414011F,*,*
010000000202542611F,*,*
010000000776171221F,*,*
010000000870821611F,640000000039245711M,010000000813596111F
200000000043448611F,*,*
200000000051653411F,*,*
200000000051767411F,*,*
200000000053022011F,*,*
640000000035442611F,*,*
640000000035723611F,*,*
640000000037775611F,*,*
200000000244711611F,*,*
200000000251170611F,200000000027795511M,*
200000000253374611F,*,*
200000000284185211F,*,*
600000000681337611F,*,*
600000100287629411F,*,*
600000100441694911F,*,*
640000000313634911F,650000000149516711M,650000000275602011F
640000000515579211F,650000000192941011M,640000000447042311F
650000000604295611F,*,*
650000000616168611F,*,*
650000000616447211F,*,*
650000000627540121F,*,*
650000000637812611F,*,*
650000000640610921F,*,*
200000000270339411F,200000000023148111M,*
650000000688213011F,*,*
650000000691646611F,*,*
650000000716560221F,*,*
650000000730752111F,*,*
